HO,CD
9,32
10,39
8,35
8,30
8,29
11,39
7,32
10,38
9,39
10,32
9,25
9,34
7,37
13,30
5,32
15,35
8,32
8,33
11,41
10,28
6,29
4,24
10,27
10,27
8,42
6,24
9,30
11,20
12,43
5,27
9,33
6,41
12,25
13,36
10,30
8,29
9,30
8,23
10,26
14,34
12,26
7,36
11,30
6,31
7,26
8,28
12,19
10,30
8,31
7,41
9,25
13,34
8,25
8,31
6,31
11,32
8,35
8,33
8,30
6,34
6,30
6,32
9,27
9,36
9,23
8,34
11,32
5,31
5,33
9,30
12,29
10,31
11,26
5,30
12,34
10,34
11,35
9,38
3,29
12,36
9,33
6,39
7,20
9,32
12,30
9,32
8,39
8,25
13,31
9,28
10,36
7,29
8,25
7,32
10,30
9,42
10,26
5,23
8,31
10,26
14,35
9,37
12,34
10,29
11,29
6,35
13,23
8,22
13,34
9,38
10,30
10,29
12,27
6,25
8,39
11,30
9,30
7,30
8,27
6,30
11,44
10,33
11,30
9,32
5,27
7,27
8,37
7,33
11,39
8,27
14,35
6,39
14,33
7,29
6,34
8,38
5,23
8,37
11,38
9,30
12,28
12,37
7,35
15,34
9,36
10,27
11,24
12,31
11,29
7,34
7,39
7,32
6,27
13,29
8,29
8,31
9,28
10,37
10,33
11,38
10,35
8,32
12,36
6,32
9,28
19,30
10,34
9,37
5,37
7,38
14,35
10,29
8,34
8,35
12,37
7,24
13,30
6,25
8,30
9,32
8,32
9,28
11,37
7,24
12,34
15,36
11,35
10,37
6,35
10,31
6,30
10,28
9,35
6,31
10,36
8,31
6,31
9,29
10,35
8,34
7,32
10,29
7,36
7,31
11,35
7,35
8,32
6,27
10,40
12,36
14,37
8,31
10,31
9,37
6,40
12,29
8,27
8,35
8,34
6,26
9,33
10,29
9,25
12,30
9,25
10,38
11,37
8,33
6,34
7,28
9,35
8,34
9,25
11,34
9,39
11,28
9,34
10,33
8,24
11,28
8,37
10,37
8,32
15,30
7,32
6,30
11,35
9,30
9,39
7,31
10,32
10,27
4,29
11,36
9,34
7,34
10,39
11,35
9,39
8,30
7,27
9,38
5,26
11,37
10,33
14,29
7,25
9,32
5,34
9,38
11,34
6,36
8,34
10,32
11,42
8,26
10,23
10,31
12,27
11,27
8,30
8,29
7,26
10,36
5,44
9,35
9,41
6,31
10,35
10,38
9,36
5,37
8,37
10,41
11,32
12,31
10,31
6,31
9,25
13,31
6,29
10,36
9,35
8,31
10,32
7,35
5,35
8,32
10,39
9,29
13,27
5,33
7,32
13,33
9,29
13,38
9,23
7,40
10,28
8,39
8,37
13,35
9,35
9,39
10,35
9,33
9,31
12,28
12,35
13,35
6,33
11,27
15,35
6,36
10,30
9,33
7,30
7,23
15,33
9,34
5,35
7,27
7,35
8,29
12,34
5,31
12,39
10,30
9,32
6,49
6,31
9,32
9,31
5,27
9,35
12,33
9,32
7,32
10,30
8,27
7,43
5,33
5,24
8,29
9,30
7,32
6,35
4,27
14,35
7,30
7,35
7,33
8,31
11,33
10,32
7,35
8,34
9,36
10,29
9,36
7,33
9,23
13,36
9,37
10,36
13,40
9,24
10,25
11,32
10,30
7,35
11,27
3,36
9,35
7,40
9,32
8,39
11,31
4,32
11,29
9,35
10,38
3,27
5,25
8,30
6,28
9,37
5,37
8,27
10,34
4,27
12,43
7,35
8,38
7,31
13,33
5,31
10,35
7,35
7,34
12,38
7,26
8,37
8,37
12,24
8,37
7,33
4,31
10,35
8,38
7,34
8,31
7,34
8,33
6,31
7,29
8,28
10,28
11,32
8,28
7,31
9,33
9,29
14,31
9,31
12,36
8,27
6,29
8,35
9,33
8,28
7,23
9,38
9,21
8,33
12,27
9,33
10,25
11,30
8,37
15,29
12,32
4,34
10,31
6,29
7,42
9,29
10,23
6,33
8,38
10,33
7,30
11,38
5,36
8,35
9,28
9,30
11,31
9,25
12,30
7,26
8,36
13,29
7,33
9,32
7,29
10,32
9,27
9,22
13,32
7,23
14,35
12,34
5,34
8,31
8,31
5,37
7,31
7,32
8,36
9,36
11,30
7,39
12,24
8,32
7,32
6,30
6,40
11,35
10,34
8,32
11,33
8,43
6,24
8,31
8,37
5,34
13,29
10,23
7,33
8,28
8,26
7,27
9,37
7,24
11,25
9,36
13,35
12,30
10,28
8,25
8,33
8,33
12,33
10,32
10,27
9,28
7,27
9,33
4,36
7,34
7,33
7,26
8,28
8,31
9,25
12,31
8,29
11,30
8,25
3,44
9,31
7,38
8,33
10,29
12,28
8,29
9,33
10,27
9,36
7,37
10,32
5,22
14,32
16,34
8,35
8,31
10,35
9,35
10,28
8,34
8,32
9,31
12,30
8,31
9,27
11,38
8,32
13,25
10,29
11,37
9,27
5,38
9,31
6,26
6,31
7,32
9,38
10,37
9,24
12,27
5,25
10,36
10,34
5,35
12,32
9,28
6,28
9,41
9,24
8,30
6,26
7,32
7,41
3,27
10,26
8,36
9,34
7,36
9,35
13,37
8,29
3,31
7,32
10,35
9,30
8,27
7,33
9,36
10,32
10,37
12,29
10,30
7,43
6,37
10,34
6,28
7,28
9,34
8,41
11,41
13,29
8,42
11,32
9,31
10,33
11,21
9,32
9,23
8,33
9,32
7,27
8,29
12,31
15,28
7,36
7,27
8,35
11,36
5,27
11,21
4,30
10,29
9,28
4,35
6,38
9,34
9,28
6,34
15,33
4,28
8,25
11,34
5,30
6,25
12,35
13,41
6,35
11,43
11,29
11,39
13,35
8,31
8,29
7,24
8,28
6,26
8,29
13,28
12,31
7,32
7,31
10,23
12,32
7,39
8,29
10,27
8,34
11,40
11,34
10,32
11,28
17,40
9,32
11,39
8,21
5,25
10,36
13,30
7,32
8,30
11,32
6,30
10,37
8,34
8,33
10,29
8,37
10,31
5,37
4,27
10,33
9,32
6,29
8,30
9,32
4,37
8,29
7,40
11,29
10,33
13,37
6,22
11,30
9,29
7,39
12,28
10,32
13,35
4,28
8,36
7,35
6,25
6,36
8,24
10,37
7,32
11,34
10,31
10,27
7,32
1,32
10,30
7,31
5,42
10,37
10,37
9,29
7,42
10,41
10,36
6,37
5,32
13,34
5,34
9,36
6,27
9,30
5,29
8,31
7,30
14,32
6,23
12,34
10,34
9,38
7,30
11,34
8,31
8,30
10,31
7,28
18,31
11,38
5,34
7,32
11,32
10,25
10,30
9,24
6,33
9,26
14,38
7,35
9,24
12,25
14,24
11,33
10,25
12,45
7,29
5,27
9,37
8,32
8,28
7,33
8,29
7,35
8,31
7,29
9,35
8,28
12,27
8,40
11,26
8,30
12,30
10,42
11,28
11,34
6,20
11,35
10,34
9,35
7,42
7,36
16,32
14,28
10,38
11,32
9,21
6,30
7,34
4,39
5,40
5,43
14,32
11,40
15,36
12,38
11,39
6,34
10,35
13,30
9,31
12,32
5,33
11,38
8,29
11,35
5,31
17,27
5,32
4,38
13,34
6,30
8,34
3,34
8,36
11,33
7,24
10,34
7,37
8,34
10,24
11,30
9,28
9,36
10,31
14,29
7,37
8,39
9,38
6,39
9,29
13,20
9,20
7,30
14,36
6,32
10,28
13,33
10,19
8,29
8,32
6,45
11,39
10,35
13,27
15,33
11,32
9,31
8,29
8,31
11,30
7,28
8,31
6,26
8,24
15,27
8,36
11,30
7,32
10,31
7,32
8,30
12,25
9,39
7,30
8,35
6,32
9,29
8,34
9,44
11,35
9,26
4,34
7,33
9,36
4,23
9,27
13,42
