HO,CD
14,32
10,43
11,42
13,42
7,45
8,34
12,36
8,30
5,41
9,42
8,39
10,48
10,38
11,35
10,30
10,36
10,38
12,32
12,38
11,35
4,36
10,32
13,40
8,47
6,38
11,34
14,45
12,42
9,36
10,38
9,31
15,33
9,36
12,41
11,41
7,39
12,43
10,33
10,37
10,37
9,49
14,39
13,34
13,48
10,39
13,39
13,44
12,46
9,39
9,46
13,29
7,34
5,48
6,38
12,37
12,34
11,39
8,47
7,46
8,36
11,37
9,35
13,36
10,39
8,38
8,38
6,40
11,47
10,30
8,39
11,44
9,40
11,41
13,37
10,43
8,40
8,37
9,49
11,35
9,37
12,32
11,36
10,46
15,38
8,42
9,39
12,39
8,30
12,37
8,49
11,32
11,36
10,32
10,42
14,34
14,30
8,41
12,37
13,32
13,39
10,40
11,42
11,34
9,39
8,38
12,30
14,30
12,30
7,43
9,35
10,41
10,45
11,45
13,40
11,50
8,41
13,36
11,55
12,44
12,34
11,31
11,41
8,46
8,40
15,40
9,34
9,31
9,35
15,32
11,42
8,45
13,31
10,39
8,48
13,39
12,32
5,33
14,45
11,42
8,39
12,40
13,38
10,36
9,33
11,42
13,48
14,45
7,33
8,39
9,38
8,40
5,40
10,40
15,36
10,42
10,39
15,41
11,36
12,38
11,45
11,35
9,39
11,25
10,35
13,40
7,47
4,32
13,43
9,43
14,33
7,31
7,47
17,32
11,41
11,41
12,52
8,37
9,37
11,35
10,43
10,28
9,49
6,39
10,45
8,35
13,28
4,43
6,37
15,34
13,42
8,50
16,34
13,28
8,28
9,42
10,33
11,34
9,35
13,44
10,40
10,48
7,44
7,39
14,48
10,36
13,38
13,41
13,37
11,37
10,42
10,40
9,37
9,32
7,37
14,39
11,36
5,46
13,36
9,34
7,38
13,32
12,35
9,29
12,37
8,39
10,35
8,43
13,42
11,47
7,40
8,28
10,45
11,42
7,41
6,42
11,38
6,37
10,26
7,40
9,35
11,39
16,40
9,36
12,40
13,44
12,38
11,35
12,44
10,40
7,36
11,46
8,29
7,39
7,36
8,37
12,40
12,41
13,35
12,38
8,34
11,31
10,35
8,39
11,40
9,34
15,30
15,36
12,40
7,46
12,33
16,40
10,36
13,43
9,38
16,33
10,35
10,47
14,35
8,33
13,40
11,42
8,39
16,39
13,43
9,42
12,31
7,36
8,36
10,34
14,44
15,42
12,44
16,40
15,41
10,39
5,33
12,34
11,44
11,41
11,36
14,40
14,35
6,33
12,42
12,39
9,39
8,39
12,46
10,43
9,37
6,39
5,39
11,40
11,31
12,37
12,48
8,43
10,44
7,42
13,43
13,31
9,42
11,35
10,28
8,35
9,44
11,36
11,37
11,42
10,39
11,47
11,33
11,44
8,36
11,33
11,36
11,44
9,41
4,44
11,31
12,36
7,37
8,37
10,38
15,39
13,52
8,38
9,37
6,29
13,31
13,36
16,39
8,33
7,37
16,35
7,36
10,39
9,34
10,40
11,34
10,41
8,46
13,38
12,33
6,35
9,42
11,38
11,35
6,35
14,47
11,38
8,41
6,36
11,45
13,38
6,36
15,40
10,47
10,48
11,44
6,34
12,35
11,34
10,38
13,35
11,27
14,36
8,40
8,41
8,37
11,42
10,39
12,43
12,42
12,42
7,39
6,38
12,41
12,48
8,36
7,34
13,29
10,37
11,43
10,27
11,27
13,45
11,38
11,44
6,37
14,36
13,30
15,45
15,37
13,36
11,29
9,49
15,45
9,45
15,38
12,32
11,44
11,40
15,42
7,34
11,30
9,34
13,33
9,35
10,24
10,41
8,42
10,41
9,38
10,34
10,43
6,45
11,33
9,32
9,37
9,43
7,32
8,38
11,42
10,32
10,31
12,40
7,45
11,38
12,32
10,34
14,34
9,25
10,37
12,39
11,36
7,44
8,51
6,44
7,33
13,41
8,32
12,37
10,35
9,40
14,37
13,49
7,31
13,38
4,43
7,37
15,41
12,42
7,38
10,39
10,40
16,47
8,58
11,48
8,39
10,44
13,38
11,36
13,38
13,40
7,29
11,37
12,42
10,36
8,29
17,35
10,46
8,44
8,41
10,36
13,37
13,33
8,33
10,35
9,37
16,44
10,34
8,43
13,36
13,33
13,36
7,44
7,40
10,52
13,43
10,39
17,33
12,34
11,32
12,42
8,44
17,44
8,36
8,41
11,35
8,39
11,36
9,35
10,38
11,36
13,40
12,34
9,37
9,41
10,38
13,40
9,42
6,45
12,41
14,36
10,45
14,40
10,34
11,39
12,40
11,41
8,36
17,49
13,42
15,38
9,41
12,39
11,34
9,39
14,33
10,28
16,34
16,35
7,43
13,35
7,42
12,34
13,32
8,39
18,48
16,38
8,34
14,46
12,38
13,46
11,39
9,40
12,44
11,35
17,37
10,40
9,37
11,32
14,44
7,41
6,35
5,35
5,34
7,39
7,37
9,42
9,35
8,35
12,33
9,36
14,37
9,37
9,42
12,34
14,46
11,33
11,41
9,33
5,31
14,35
7,41
7,39
13,39
5,30
12,39
13,36
13,36
12,42
9,41
12,40
8,33
7,40
20,41
16,34
13,47
6,41
15,44
12,39
9,34
10,40
10,37
13,37
13,51
11,40
10,37
9,35
12,37
8,37
14,26
10,48
10,33
9,38
10,32
14,42
14,38
10,48
8,39
9,38
10,46
12,42
15,36
9,32
14,38
9,40
13,39
11,35
7,37
11,44
9,40
12,34
10,36
11,33
17,35
10,41
11,46
10,32
18,47
7,42
12,43
10,39
9,43
12,39
9,40
10,47
10,40
12,31
11,47
10,33
6,38
11,40
10,40
13,50
12,43
11,44
13,45
11,33
13,39
16,49
4,37
9,40
11,34
11,39
11,31
14,37
11,39
12,42
11,32
8,32
9,41
9,54
14,34
14,40
4,40
8,40
8,39
11,42
11,38
13,33
8,35
13,43
14,37
12,49
12,42
7,33
12,45
7,43
16,49
11,37
6,34
17,38
8,45
13,40
10,37
13,42
12,43
16,38
6,30
11,38
12,43
8,34
13,43
6,38
9,38
8,44
11,35
10,34
7,34
9,40
14,36
9,46
6,43
10,41
10,36
6,31
8,40
5,40
10,38
10,30
10,28
13,44
12,37
8,40
10,33
11,39
8,39
14,30
12,39
16,42
11,33
15,33
7,33
16,40
12,42
6,53
12,37
10,38
9,50
11,37
11,43
13,42
9,43
15,45
10,32
13,45
10,37
5,44
15,41
8,34
14,41
12,31
13,37
15,37
15,32
14,39
12,38
10,45
10,35
14,42
13,45
12,44
7,31
10,45
11,43
13,42
12,33
15,32
9,46
14,32
10,38
11,40
6,40
12,44
10,42
10,45
12,31
14,42
9,37
11,31
12,41
11,45
6,39
9,35
8,34
9,34
11,33
10,39
13,39
10,44
10,24
16,50
9,42
12,38
12,43
13,33
11,33
8,32
8,46
10,38
7,31
11,43
11,59
8,39
12,35
16,39
8,42
11,32
8,41
7,42
12,47
5,35
10,32
16,40
10,43
11,40
9,33
17,54
9,35
14,54
8,37
12,37
11,35
11,37
11,39
9,38
10,36
14,45
12,42
11,40
9,35
10,43
9,46
5,46
13,44
7,30
10,40
15,34
14,34
10,27
7,34
12,48
13,30
15,38
7,33
10,43
6,43
10,37
13,33
13,39
12,34
9,28
14,51
14,45
7,32
14,44
8,30
17,35
12,41
13,35
11,37
15,38
12,42
14,36
8,31
9,39
11,43
10,45
8,46
12,42
12,41
14,37
8,35
11,35
14,40
12,37
13,40
8,31
9,52
9,30
9,33
12,32
10,44
9,40
13,26
12,42
6,39
11,40
16,47
9,50
15,42
14,42
11,36
12,44
11,38
10,41
10,36
7,35
16,42
12,33
12,42
14,46
15,52
5,33
13,39
11,46
9,33
11,34
11,41
15,29
11,39
14,31
10,36
5,40
6,43
9,36
13,39
9,35
9,36
11,38
8,45
7,41
