HO,CD
32,117
24,109
28,117
26,124
28,113
20,105
33,102
29,109
27,120
36,109
31,118
26,110
27,94
29,107
24,108
30,108
34,105
27,104
26,112
27,98
29,94
31,92
25,110
28,106
28,105
33,105
30,115
34,95
28,106
27,100
28,102
32,105
30,99
24,100
27,119
30,96
28,100
25,99
27,109
26,105
32,101
29,110
30,104
32,124
27,107
24,99
30,125
29,105
25,98
30,100
26,119
30,113
32,112
29,102
29,121
35,108
30,107
23,116
24,104
27,111
32,107
23,100
25,103
28,112
26,107
26,100
29,110
23,102
32,100
21,100
32,96
30,105
33,108
26,116
26,106
30,107
28,108
23,107
22,91
24,98
27,115
29,114
25,108
25,109
28,103
26,99
32,106
24,103
29,114
27,95
28,102
36,109
21,107
21,107
35,101
27,97
26,102
31,106
25,96
27,106
31,104
28,116
31,104
30,116
29,102
27,99
32,104
26,108
27,111
34,112
27,97
28,106
26,105
25,105
30,105
32,93
28,98
31,98
32,89
28,108
26,102
28,109
31,106
24,116
31,115
27,103
31,109
27,110
29,110
25,108
30,113
27,102
27,113
27,99
28,101
28,107
29,106
28,105
30,96
31,111
25,116
32,104
27,95
23,101
27,95
27,104
28,109
28,99
33,111
29,108
29,108
28,97
28,102
20,100
27,114
28,107
26,85
29,111
25,115
29,99
27,111
23,105
23,108
25,111
32,106
26,114
29,90
34,105
28,100
26,113
27,100
27,95
29,93
27,96
25,103
28,105
27,120
31,119
31,115
31,106
32,100
25,93
31,103
28,109
31,109
26,122
24,105
31,98
27,117
29,106
33,104
33,107
25,109
31,117
26,119
27,104
22,109
30,107
26,112
36,101
28,122
29,98
26,107
24,115
28,108
27,98
26,109
26,103
24,116
26,111
27,97
23,112
28,102
24,91
27,91
29,97
25,113
24,111
24,120
25,105
31,96
28,97
27,104
30,95
26,124
29,110
32,107
29,99
29,104
29,102
28,105
25,95
28,95
30,100
34,102
25,111
24,95
27,92
23,105
24,108
25,100
37,105
30,114
29,104
28,106
25,109
28,98
21,94
29,114
30,110
25,109
22,110
30,114
27,109
35,108
26,119
27,105
32,103
24,111
23,108
29,104
23,108
29,119
26,108
24,112
29,103
24,112
30,99
29,109
29,112
24,122
24,96
26,111
25,104
30,96
33,116
32,100
26,119
26,105
36,115
31,85
29,99
30,104
29,96
22,101
25,117
30,120
34,93
30,108
30,102
28,110
31,104
27,112
26,91
32,98
27,104
29,103
26,98
31,99
27,109
29,113
22,99
25,111
27,99
28,89
31,99
36,86
26,106
30,105
26,110
23,123
27,107
33,101
24,98
27,105
24,99
28,120
29,108
29,113
27,115
23,119
29,106
24,102
28,101
28,110
32,118
32,101
25,100
26,113
27,110
25,118
27,108
27,100
23,103
29,102
30,96
29,106
31,103
29,103
23,100
27,100
28,109
26,111
24,121
30,110
26,105
31,107
28,103
27,117
30,91
24,105
26,102
26,96
25,93
30,107
27,110
30,104
27,105
30,106
33,100
32,95
29,102
32,108
26,103
26,95
28,99
28,101
29,103
31,90
25,112
28,95
24,111
31,108
31,116
28,112
32,109
32,108
26,116
31,112
24,112
26,96
29,109
29,108
29,101
28,112
19,107
28,111
30,110
30,118
23,102
28,104
30,102
27,94
30,120
30,101
28,102
25,104
27,99
25,94
28,98
32,109
27,102
18,99
26,94
24,92
28,110
29,108
31,101
25,93
31,111
31,108
32,109
27,103
30,111
29,107
31,96
25,103
31,90
35,106
31,103
29,105
35,114
31,106
30,102
27,114
27,99
27,101
30,105
31,101
26,113
26,113
28,102
28,112
30,106
32,114
29,99
28,107
23,100
27,111
27,104
25,99
26,89
31,112
28,98
30,99
34,94
