HO,CD
41,84
49,97
39,88
43,77
39,95
28,90
37,83
42,96
32,102
38,88
33,94
30,76
40,101
37,103
41,75
39,77
34,94
33,110
37,79
31,76
39,85
38,99
30,102
25,89
26,85
41,74
33,93
34,95
40,95
29,84
34,95
48,82
35,79
40,105
33,95
31,65
38,91
36,115
42,87
40,72
43,80
26,91
39,105
32,75
46,106
35,87
40,81
36,85
32,92
42,97
33,70
46,88
43,82
27,86
31,79
44,96
33,81
33,87
35,84
43,85
44,74
35,86
49,84
32,85
39,77
39,83
35,74
34,102
40,85
44,95
39,101
43,97
48,84
43,86
41,74
35,79
37,90
36,81
31,89
33,82
38,84
28,97
32,79
43,102
35,100
32,93
44,81
34,89
31,80
27,85
42,85
44,91
45,86
34,84
37,83
31,98
34,90
44,92
48,101
45,105
50,100
26,94
38,94
55,77
41,86
30,91
45,91
28,87
50,89
41,72
29,97
46,83
40,79
51,82
51,76
36,89
32,85
41,83
46,85
43,96
43,78
41,78
32,81
38,101
27,77
50,89
24,90
47,91
44,84
39,108
33,107
30,92
36,94
35,89
34,94
33,90
42,86
48,100
26,92
48,76
45,93
36,85
37,76
45,89
30,91
31,73
41,83
33,84
43,77
35,85
26,90
46,90
37,88
25,81
45,78
38,98
44,85
39,94
34,89
46,72
35,89
42,78
40,90
35,93
48,99
41,85
43,80
37,96
33,92
44,81
44,104
37,80
37,92
31,96
35,98
43,82
48,73
36,96
31,85
24,76
30,84
35,94
34,98
34,95
34,88
39,92
29,90
33,90
38,79
37,82
36,78
53,78
38,111
48,80
41,84
40,99
42,81
46,81
32,88
45,77
36,87
35,101
45,92
46,104
46,77
38,81
47,82
25,91
31,102
44,93
39,99
35,88
32,100
37,97
33,104
37,88
29,83
49,91
40,74
42,90
44,93
43,98
36,76
36,70
40,91
40,86
36,97
39,91
46,85
40,80
41,88
28,82
42,98
46,89
34,80
30,97
34,81
32,91
33,101
41,92
47,78
44,84
38,77
34,88
44,98
31,80
36,79
33,81
35,83
35,85
37,91
42,73
45,86
39,97
36,85
33,90
41,93
38,90
51,95
34,87
31,90
45,65
46,85
32,90
39,89
37,82
38,87
38,91
35,99
31,103
35,96
40,101
44,91
30,87
40,77
43,83
41,92
33,74
32,99
43,91
30,79
37,77
37,84
41,71
37,88
42,98
36,84
36,88
31,94
42,79
41,102
33,85
48,100
39,87
51,107
42,90
41,98
25,88
43,93
45,88
29,92
41,80
34,94
42,86
51,93
32,82
45,70
30,87
29,91
40,79
37,101
28,92
46,101
46,82
32,79
36,101
35,95
47,88
26,103
51,93
28,93
34,79
43,96
52,103
31,82
48,86
36,77
40,89
29,84
47,88
36,92
31,84
28,65
40,82
38,79
32,86
33,94
37,115
53,93
36,75
37,78
39,85
26,97
39,100
44,72
33,88
44,72
39,102
34,82
39,90
41,88
32,77
32,77
30,77
35,91
38,85
32,87
49,90
37,95
50,97
36,96
44,84
45,95
49,79
44,80
45,80
41,92
27,82
37,117
39,94
39,88
48,93
36,92
28,86
33,98
52,74
30,84
34,80
44,76
38,91
41,95
32,83
38,71
42,88
31,96
51,77
43,94
50,93
40,83
36,79
41,94
39,86
45,81
33,102
43,95
42,79
39,88
38,88
40,91
32,100
47,95
43,84
43,87
43,91
22,101
36,104
36,72
54,85
51,102
46,90
46,93
43,91
43,99
31,87
36,89
31,61
41,80
38,90
43,84
40,87
42,81
36,96
47,90
34,89
48,88
38,87
37,76
41,92
45,80
45,86
47,100
29,90
34,82
41,88
49,96
42,76
38,85
45,87
42,78
37,91
32,89
45,80
45,93
38,81
42,70
48,78
40,87
33,89
42,82
35,88
37,85
37,91
49,62
23,85
36,88
30,88
35,94
40,96
43,83
41,95
28,76
34,93
33,98
41,86
36,78
47,96
42,88
36,71
44,82
33,95
49,92
40,82
40,78
49,86
39,83
30,77
29,85
42,114
40,88
36,98
40,84
38,73
44,93
35,109
45,104
36,76
30,83
36,80
38,77
50,96
42,86
37,105
36,75
36,85
39,83
46,82
41,86
45,80
27,92
42,89
35,91
34,79
42,85
45,90
30,84
36,78
43,91
43,82
32,78
39,83
38,97
42,78
43,87
31,87
21,79
28,91
46,93
58,78
43,90
44,96
39,86
45,79
29,91
26,86
41,99
41,90
45,79
42,80
39,108
42,97
45,97
36,87
34,99
42,98
41,97
41,95
43,88
36,79
37,99
41,89
29,88
42,70
35,74
38,92
44,98
38,84
39,116
38,82
43,114
33,94
33,107
32,96
38,100
34,80
39,63
41,92
36,96
31,95
31,86
38,92
29,77
33,69
40,65
47,106
40,78
40,89
37,88
45,90
31,92
30,80
35,86
33,89
32,94
34,78
29,84
39,84
40,90
47,94
29,96
37,78
36,97
36,73
32,91
39,80
35,68
40,97
36,96
38,89
36,75
40,83
36,89
37,87
35,81
41,104
32,88
39,75
37,78
43,103
35,78
39,88
34,102
29,101
36,86
33,85
32,87
35,92
40,69
37,86
35,87
39,79
40,71
39,77
29,84
37,83
37,80
39,83
38,72
34,88
37,108
39,87
39,104
32,86
39,77
32,81
33,94
51,82
42,83
39,94
43,94
41,82
42,102
33,93
30,94
44,66
40,89
44,94
39,89
32,84
50,76
30,83
27,90
40,95
30,84
45,74
34,108
50,87
38,86
33,87
36,82
50,80
33,93
44,95
34,94
32,80
33,102
42,96
35,67
54,88
35,81
39,84
34,95
32,100
40,81
33,90
53,80
45,92
36,73
41,95
38,89
40,83
48,97
36,108
31,101
37,90
29,92
37,94
41,70
53,83
39,83
35,86
30,86
32,87
33,76
34,85
41,88
43,66
38,91
43,91
24,80
34,87
51,96
24,73
36,70
46,98
44,83
41,110
34,82
37,93
39,66
45,83
46,81
54,91
39,82
41,101
36,91
47,77
40,101
41,68
34,78
29,94
37,92
36,83
32,90
40,87
41,80
38,86
34,78
47,91
39,90
42,105
30,97
35,78
31,78
41,89
30,82
39,93
38,92
29,81
44,85
49,77
26,84
32,84
57,97
42,71
40,91
36,72
43,91
38,79
36,79
52,82
45,81
48,98
42,97
50,85
40,87
28,89
31,91
39,94
49,56
32,86
34,81
27,84
47,93
39,100
43,73
35,89
38,88
40,89
36,86
40,78
40,82
27,82
45,88
39,79
41,93
29,77
42,71
46,100
38,95
27,76
42,89
36,83
35,85
43,92
35,96
