HO,CD
22,105
29,104
27,90
28,100
22,94
28,86
24,78
25,92
20,89
27,86
20,100
26,107
28,86
29,86
27,92
25,79
20,81
22,100
24,91
24,82
25,94
26,87
18,92
17,113
21,95
18,90
24,86
22,88
29,89
24,83
27,104
25,87
30,75
30,81
20,90
26,88
25,100
26,77
19,103
25,80
27,98
23,85
26,86
21,84
18,74
33,81
18,99
21,85
31,87
25,99
26,97
20,90
22,82
27,77
29,81
17,84
30,92
28,107
21,106
30,103
26,95
15,84
25,93
18,107
33,78
23,98
23,86
21,94
24,85
29,104
19,90
21,75
24,88
24,80
27,97
25,88
24,97
31,78
26,90
25,73
25,78
30,79
28,79
23,93
30,95
25,73
27,68
18,91
29,99
24,68
16,96
36,98
30,101
21,87
27,86
24,88
28,104
24,102
32,101
24,80
19,75
22,96
21,91
23,86
30,78
24,104
28,86
30,77
29,86
19,95
28,84
24,92
19,83
18,80
25,95
29,95
29,95
23,81
20,88
22,87
29,94
21,83
32,99
26,96
24,94
22,98
32,98
25,89
21,88
27,78
17,79
22,95
21,101
23,104
22,86
27,106
27,77
29,72
21,100
34,82
26,78
22,116
23,91
20,85
21,74
27,89
30,84
27,88
23,93
29,86
24,83
18,87
23,92
27,93
21,92
21,92
23,85
26,97
16,105
23,91
21,93
24,92
22,77
23,90
22,95
19,99
22,83
27,86
23,67
25,89
22,102
18,87
28,91
27,94
25,82
34,89
32,100
21,110
19,90
31,82
24,97
22,103
25,96
21,94
28,95
18,101
20,92
29,95
31,113
23,103
21,90
25,78
24,85
19,87
34,80
15,99
19,87
25,75
21,90
25,87
27,91
15,77
18,87
31,104
20,99
26,95
31,91
24,81
22,98
27,89
25,94
24,83
26,89
30,86
21,86
30,90
24,105
33,90
22,75
26,74
28,92
27,95
18,84
20,96
31,83
27,109
22,80
27,74
31,82
27,97
24,84
21,102
25,95
25,89
28,65
23,87
25,84
21,83
15,88
25,102
20,92
23,99
24,82
23,98
30,84
25,92
21,93
25,104
25,107
20,96
19,90
22,109
28,100
29,93
23,100
21,81
22,92
26,78
23,84
16,94
23,80
33,92
26,82
18,84
22,87
25,98
25,85
24,102
28,93
28,76
30,74
23,87
28,101
29,84
22,106
22,86
27,87
23,86
20,112
25,92
26,107
20,90
26,83
24,92
24,99
25,76
22,84
19,88
31,84
26,96
18,102
31,96
25,83
24,81
23,105
24,109
17,90
25,71
31,98
23,94
30,91
33,82
17,80
20,92
28,95
27,111
19,100
25,99
25,80
31,97
19,89
23,98
18,99
18,101
21,102
24,91
26,82
27,96
22,90
20,102
21,92
25,87
30,82
27,100
23,97
24,79
25,98
29,84
32,78
23,86
21,81
32,73
24,95
21,91
22,99
34,93
27,87
27,94
14,90
16,85
21,108
27,102
25,89
28,97
16,86
26,106
24,76
23,86
24,94
25,91
25,100
21,89
23,81
27,96
16,104
25,93
25,96
21,97
27,100
27,71
25,83
26,92
28,75
29,90
24,78
22,71
35,79
27,101
23,89
22,85
19,81
20,98
22,94
22,84
15,95
23,90
39,106
26,80
26,98
22,88
25,86
29,97
25,96
20,96
26,95
24,105
17,95
22,91
18,85
20,80
22,98
38,88
27,94
19,95
23,92
27,80
25,102
24,88
19,94
27,82
20,91
17,93
18,83
23,86
27,91
19,88
21,84
20,90
20,104
32,100
27,86
