HO,CD
51,101
55,109
61,123
54,123
47,121
47,120
49,130
42,116
34,98
54,98
57,119
48,117
49,110
66,112
51,110
49,122
65,105
44,145
40,115
50,127
49,124
47,122
54,112
50,124
47,102
56,124
47,104
39,121
35,107
59,115
50,124
48,116
63,122
54,119
57,116
56,111
49,127
51,120
63,112
58,120
50,91
43,111
50,123
53,115
43,121
43,117
57,116
61,108
47,101
44,112
43,127
53,119
46,114
54,122
51,114
53,107
58,133
45,109
59,126
60,128
60,101
52,99
40,112
45,123
50,112
51,100
59,138
45,113
55,111
63,115
54,114
61,130
48,124
58,119
56,119
49,123
50,119
52,126
47,116
49,117
33,110
46,115
49,128
59,101
47,102
50,100
45,98
55,119
58,112
49,123
52,120
45,125
47,125
65,121
48,135
41,124
47,106
47,98
46,108
36,110
55,117
52,111
32,134
55,115
47,105
41,110
56,122
53,119
52,115
49,117
46,126
44,93
61,106
57,106
53,134
56,104
48,116
66,132
66,109
54,123
55,96
50,114
46,135
62,120
61,138
48,114
40,116
63,115
61,114
52,127
60,129
42,114
53,114
49,99
65,108
58,121
61,129
60,111
55,114
46,126
62,114
42,112
60,111
40,119
47,122
47,123
43,130
58,127
59,130
67,131
47,118
67,119
66,94
45,127
57,128
54,108
55,123
54,118
70,128
54,136
63,113
56,129
48,106
44,134
45,121
67,123
45,120
38,124
51,133
54,119
51,122
48,118
47,98
54,122
57,121
46,119
42,107
58,124
55,104
53,127
57,124
44,108
40,120
41,112
55,141
58,110
53,108
52,118
72,113
54,113
44,124
45,116
57,122
57,120
42,109
53,118
54,111
56,114
54,95
58,140
60,122
61,132
52,116
35,104
51,126
46,119
51,123
56,106
57,123
62,117
47,115
59,103
48,118
52,123
53,117
48,120
37,115
41,109
36,126
47,113
49,114
38,104
51,126
54,117
46,107
51,105
54,111
55,113
40,122
62,107
42,121
54,100
49,114
56,121
48,132
45,113
48,98
60,122
46,125
46,100
63,119
43,120
42,114
50,114
56,123
41,95
49,118
59,126
62,137
62,123
46,126
43,122
62,115
51,104
48,137
52,102
50,110
55,96
53,127
61,124
50,109
48,103
58,123
56,121
61,133
38,128
41,118
51,118
60,105
48,105
44,102
38,109
50,99
58,137
50,98
58,122
48,127
48,118
48,105
48,120
44,117
57,133
47,108
54,117
49,107
55,107
51,106
55,123
38,121
56,105
47,122
43,102
50,113
60,130
45,120
57,122
57,112
52,117
38,113
40,117
42,129
61,122
53,120
48,114
50,102
54,126
52,119
50,125
48,91
45,102
57,114
49,111
42,114
48,131
51,113
48,116
45,124
50,130
62,118
43,112
56,122
57,142
47,126
43,126
46,128
54,124
53,128
43,121
39,128
63,120
49,140
48,97
44,113
48,117
36,118
63,118
50,112
42,115
56,141
57,115
60,108
61,123
52,129
51,122
54,93
46,87
54,115
38,138
47,117
46,113
52,106
57,132
49,117
67,125
53,116
55,120
58,104
35,124
57,93
49,128
48,111
54,113
51,116
50,123
50,99
62,116
54,128
57,106
60,113
52,100
60,114
46,121
49,115
50,112
47,134
59,103
45,115
41,109
46,106
56,119
58,100
49,116
50,107
61,117
48,132
52,104
50,100
45,114
48,102
59,127
48,137
66,126
49,96
47,108
54,123
57,121
56,114
57,119
56,119
51,120
54,112
48,89
57,124
49,119
46,112
54,135
41,112
49,108
52,116
51,105
55,113
49,106
43,122
38,128
50,91
48,101
47,109
53,111
41,115
51,137
46,102
48,119
58,111
48,109
39,123
55,115
42,126
61,102
36,106
51,106
48,128
42,132
58,123
58,137
55,110
42,112
53,118
39,107
58,110
54,115
55,129
49,108
35,98
51,101
55,114
47,117
53,129
44,106
52,108
54,117
60,127
43,116
43,120
37,100
53,121
54,129
56,112
46,103
46,133
47,115
59,110
48,136
53,117
51,105
46,125
50,101
47,123
51,116
41,134
54,129
40,120
60,119
51,124
56,128
46,91
48,105
44,111
60,136
47,104
49,113
50,119
53,103
57,148
51,123
52,118
49,111
54,115
55,111
47,103
47,113
54,134
47,119
52,127
55,114
39,117
46,128
41,112
46,108
54,123
62,121
47,118
44,123
38,111
59,129
62,93
57,113
48,116
47,101
38,129
47,105
42,131
45,101
43,116
42,117
47,115
48,107
47,118
60,131
52,106
61,133
48,139
47,125
43,106
37,102
40,93
52,127
60,96
44,124
39,141
50,103
47,95
57,119
51,124
57,123
60,119
53,108
56,100
53,94
48,109
56,130
42,106
36,103
60,104
50,118
37,129
39,111
51,126
45,120
56,117
54,118
47,110
52,101
52,109
51,130
56,117
47,130
59,116
42,125
52,110
59,127
47,123
48,121
48,111
65,118
44,126
