HO,CD
37,114
33,86
39,113
45,86
47,104
49,92
44,106
45,103
60,83
29,94
46,95
41,98
40,93
39,90
41,107
33,116
54,121
44,101
41,111
48,115
36,104
51,122
37,95
36,94
43,94
34,103
40,108
44,99
51,100
42,84
48,93
37,105
49,107
53,95
39,106
41,88
44,106
39,105
38,100
41,112
47,100
38,104
47,103
34,79
47,112
40,102
43,94
39,98
46,106
42,107
39,105
41,85
32,103
43,100
34,118
52,95
48,102
46,86
36,90
41,108
40,106
40,116
41,101
48,102
39,83
46,101
38,97
40,101
29,102
46,97
41,113
39,97
50,102
45,91
49,98
36,89
40,93
45,105
34,112
53,112
36,93
48,101
33,105
30,98
41,85
50,102
36,112
38,96
42,95
46,89
51,108
31,92
37,97
46,89
41,105
57,93
41,88
54,109
61,104
46,100
50,96
40,100
47,91
33,116
54,107
46,103
37,101
38,96
33,89
47,101
40,98
56,123
33,95
43,99
41,94
42,103
44,101
45,110
48,91
47,111
49,112
28,88
50,97
51,104
50,113
40,84
46,107
41,102
33,95
47,102
41,93
30,77
34,94
38,112
44,98
46,76
50,95
49,99
46,105
38,113
47,89
38,87
44,97
62,102
43,114
28,107
42,104
38,96
37,97
42,99
50,98
31,102
41,87
41,104
42,92
51,100
29,96
43,107
49,98
37,82
47,98
36,106
50,92
36,91
34,110
48,97
54,103
45,99
35,102
42,108
46,81
38,97
37,110
40,87
55,107
34,108
48,81
48,95
43,95
47,88
47,83
43,120
47,105
38,101
38,101
44,112
45,98
39,79
51,115
43,108
38,85
40,106
45,96
43,93
49,83
40,100
46,97
43,109
43,90
40,110
45,70
39,107
55,107
34,109
41,79
36,99
51,86
40,95
46,107
43,91
50,87
42,102
38,101
47,117
39,94
47,86
51,87
54,84
26,105
54,86
43,104
36,90
34,103
46,102
50,96
43,95
41,96
52,95
38,94
40,101
46,103
37,99
35,94
45,101
33,107
42,108
46,104
49,99
38,101
37,97
46,94
31,112
37,102
40,87
46,94
43,103
52,93
39,120
52,74
37,102
40,109
39,109
34,95
40,98
32,67
48,110
43,92
39,112
45,94
43,74
50,95
41,97
51,84
41,83
43,100
53,105
54,89
39,90
38,102
33,94
53,98
40,103
48,96
45,92
43,92
46,105
41,95
40,111
53,112
47,102
39,103
42,102
40,106
37,117
50,98
31,91
42,109
42,120
54,85
29,99
36,93
42,113
40,106
49,96
44,93
45,93
35,90
37,96
52,107
54,103
41,109
45,109
37,94
52,97
49,89
45,115
52,83
42,115
45,99
35,113
38,104
48,103
43,97
31,123
33,106
