HO,CD
81,157
73,175
77,185
84,167
65,172
98,176
71,162
84,172
78,155
90,189
68,155
80,155
85,173
73,184
76,164
71,180
68,173
68,156
63,167
82,168
72,175
72,167
69,163
87,180
88,183
96,164
74,172
67,168
98,163
74,177
76,167
82,173
67,166
76,177
73,163
74,163
90,166
63,186
70,162
87,184
69,182
82,176
67,177
77,179
77,187
77,223
66,184
86,178
83,175
79,173
67,184
76,185
65,202
85,146
73,173
86,169
93,174
89,165
79,199
78,178
65,187
63,178
83,194
82,180
76,160
73,184
70,149
68,193
63,153
68,190
64,161
63,171
74,167
84,155
76,186
71,154
88,174
76,155
78,157
82,169
53,195
78,176
49,182
60,185
70,165
80,174
84,170
85,179
67,164
77,168
74,171
64,186
71,172
74,169
78,193
84,184
73,168
75,181
77,176
88,169
71,167
86,155
84,170
74,191
73,183
77,145
70,178
69,199
74,173
79,162
70,171
62,186
85,172
71,173
93,179
58,188
83,171
65,166
74,166
92,167
83,160
75,184
87,185
64,157
60,178
69,157
73,174
70,156
65,176
78,179
76,176
79,154
76,159
61,169
69,166
78,177
86,193
73,191
71,156
67,133
70,179
71,197
70,177
83,172
81,186
71,171
82,157
73,164
63,179
77,165
87,168
72,188
67,194
58,196
69,168
81,176
92,182
70,198
83,185
81,188
71,174
71,180
82,166
81,194
81,181
88,172
75,174
57,166
84,182
89,187
83,170
79,157
84,170
81,179
71,154
85,169
85,155
85,182
85,177
79,185
73,182
93,185
79,180
74,187
64,175
76,165
86,175
72,187
88,179
71,184
62,173
87,182
70,167
97,179
66,191
93,187
65,195
67,157
88,170
74,170
80,172
67,165
85,190
76,209
82,198
69,166
71,173
72,166
88,188
91,167
76,187
83,188
84,178
73,206
60,178
92,175
82,182
86,141
68,157
87,199
81,178
69,193
80,173
72,156
79,173
67,191
68,191
77,165
75,199
101,187
64,174
77,167
90,171
70,165
61,193
68,178
77,187
64,177
75,176
76,163
68,166
93,173
92,145
77,193
79,180
61,164
68,179
90,166
75,167
71,163
73,173
71,172
72,151
76,172
70,157
75,167
74,173
67,178
70,166
95,170
77,183
75,177
81,147
70,155
79,162
63,171
78,157
65,191
65,176
87,162
76,181
80,193
83,152
85,170
71,171
78,156
78,185
79,170
70,180
89,160
87,180
56,168
76,166
79,167
76,192
66,199
68,182
86,156
83,165
83,190
90,167
85,186
87,150
78,180
71,155
73,174
91,158
93,187
71,176
80,146
71,198
78,174
58,173
74,185
87,165
73,187
72,168
73,197
56,169
79,169
67,165
80,191
65,179
71,177
60,192
73,196
79,189
73,140
73,163
69,174
70,173
77,158
83,161
79,178
78,163
85,171
76,196
68,187
77,167
88,173
75,175
75,182
72,169
83,188
75,181
72,177
70,188
71,183
84,151
66,188
81,180
63,171
92,177
83,186
86,171
73,183
63,165
90,177
64,171
70,169
90,161
83,178
78,160
77,178
86,186
67,157
88,198
84,174
72,181
86,171
78,140
75,171
79,182
69,182
91,205
82,176
66,198
65,166
69,183
65,176
73,154
55,184
77,158
83,162
64,172
69,207
77,188
70,179
62,189
83,183
72,163
80,183
70,184
64,161
72,187
63,162
72,162
91,185
60,162
86,184
70,162
53,198
98,163
75,175
88,171
62,174
75,180
60,181
76,187
90,152
89,148
62,167
95,180
58,195
77,185
78,180
63,175
73,171
84,187
72,163
78,171
77,144
79,167
68,172
60,182
70,165
86,156
77,173
68,161
84,171
77,179
67,178
70,166
72,184
83,167
83,197
64,171
74,181
67,157
71,189
87,164
71,172
81,173
75,156
66,207
79,164
90,161
71,173
77,166
80,183
60,170
81,165
71,188
80,177
73,159
72,166
88,189
90,172
69,171
71,168
85,193
64,162
66,144
69,166
103,192
72,191
62,164
76,169
72,182
69,182
71,153
74,182
64,174
65,164
55,187
77,166
78,178
76,187
80,183
79,169
58,173
69,178
75,180
70,201
84,184
66,162
94,175
90,165
77,186
79,168
80,165
80,176
74,170
86,176
76,159
67,170
82,178
69,162
75,181
66,172
87,156
78,168
69,188
75,170
73,198
80,142
67,172
78,179
84,182
96,202
75,157
73,172
68,167
71,172
71,170
71,189
81,180
77,175
74,171
73,177
80,181
75,181
69,197
71,170
80,169
78,201
88,173
71,188
78,197
70,166
90,171
88,168
85,184
83,152
70,178
60,176
88,185
61,169
91,183
74,166
77,206
75,168
70,156
76,185
72,173
70,165
86,163
73,185
81,166
76,162
71,166
84,185
78,186
73,171
78,136
72,179
72,153
62,178
95,178
80,180
63,197
72,166
79,171
74,159
51,165
75,180
81,203
63,169
81,180
