HO,CD
15,79
23,73
19,62
20,72
17,68
19,61
17,62
19,59
13,66
21,71
15,75
18,79
18,65
18,60
21,64
19,59
14,58
18,68
19,68
17,65
16,66
20,62
11,71
13,76
13,68
13,67
15,66
14,62
21,67
20,64
17,70
19,67
23,60
22,55
15,67
16,67
20,77
19,60
16,77
17,61
19,71
19,68
24,64
17,65
11,64
23,63
13,74
16,61
23,63
17,75
21,71
15,66
16,60
19,64
21,66
13,65
21,69
21,75
16,77
22,73
18,75
12,61
19,68
14,73
23,60
15,70
20,63
16,73
18,65
20,71
14,66
18,61
16,70
16,61
18,73
19,63
17,74
23,55
19,64
13,57
18,56
21,58
18,61
17,67
17,60
21,52
15,55
16,63
22,70
18,53
13,67
22,67
19,69
16,65
15,63
19,62
21,71
13,69
24,77
17,57
16,56
16,73
18,74
17,62
20,60
15,76
18,71
21,57
18,65
17,64
20,58
17,61
18,60
16,60
17,74
20,67
23,72
17,60
16,61
15,65
21,71
18,65
24,70
22,68
17,67
17,70
22,65
19,70
14,62
21,54
14,59
17,73
17,73
19,76
16,59
21,74
18,58
20,57
17,71
23,63
15,61
18,80
20,62
16,65
15,58
21,66
18,63
17,73
14,69
22,63
22,62
14,65
18,70
19,67
16,71
17,70
17,62
15,71
13,80
17,66
18,72
16,67
15,55
14,65
15,65
16,65
17,59
17,61
18,57
18,66
18,72
11,62
19,68
18,69
16,64
21,65
21,76
18,81
14,67
23,64
18,72
20,77
15,72
17,69
19,73
14,70
15,64
23,67
18,78
19,74
15,60
19,60
17,56
17,64
19,61
12,70
16,65
19,58
17,69
19,63
19,68
11,55
14,67
24,74
16,69
21,63
21,68
21,59
15,71
19,67
17,70
19,62
18,66
22,61
18,64
20,71
21,79
22,63
18,57
17,55
21,66
20,70
11,62
16,69
23,61
20,72
16,63
20,58
22,64
19,67
16,59
15,71
20,67
19,63
20,53
17,61
19,58
15,60
15,63
20,76
17,70
19,73
20,63
14,66
24,59
18,67
15,67
18,72
20,73
13,67
17,63
16,79
18,68
21,65
20,59
20,57
15,73
18,63
18,67
14,67
18,63
22,71
19,58
16,57
18,58
18,74
18,62
16,74
18,66
23,55
24,59
17,65
20,68
22,64
17,75
15,65
21,63
17,64
13,81
19,66
18,70
16,67
18,63
18,68
17,64
16,53
18,59
14,67
22,64
17,66
13,68
20,70
18,57
20,67
16,75
19,72
14,62
18,53
22,70
17,69
23,68
24,61
15,57
17,69
21,75
22,75
12,76
17,77
22,61
26,66
14,59
16,69
14,70
15,77
18,72
15,65
18,63
20,68
18,70
16,76
17,69
18,61
18,66
17,73
18,69
19,61
18,71
21,58
22,52
20,70
16,57
21,55
20,72
19,74
15,75
24,64
20,67
18,70
11,62
14,65
15,74
19,75
16,57
22,63
11,63
21,78
16,59
16,58
15,68
19,66
15,73
17,67
15,58
18,73
12,77
18,74
19,61
15,66
20,72
25,55
20,50
16,71
21,57
20,67
17,54
18,54
24,62
23,72
17,59
20,64
14,58
15,75
16,72
14,61
11,69
16,68
25,71
18,62
16,72
18,65
17,63
22,71
19,66
17,68
18,66
18,72
13,68
16,68
15,63
17,66
16,64
32,66
22,76
17,69
17,69
23,56
19,72
17,65
15,66
20,66
17,64
13,72
15,65
19,62
19,67
16,66
16,65
14,62
14,72
23,75
20,61
16,65
17,69
15,65
18,65
21,76
19,72
18,67
16,57
20,65
