HO,CD
18,48
16,65
7,52
14,70
15,65
18,60
21,63
17,56
16,67
22,67
14,58
15,59
16,63
16,52
18,62
13,59
17,69
17,52
17,51
23,66
17,62
10,61
13,67
16,67
18,59
11,39
19,72
16,54
18,58
11,75
20,62
15,64
19,81
19,51
16,54
16,57
13,73
20,52
20,58
17,59
17,56
9,57
17,68
12,52
19,52
16,57
17,60
18,70
13,67
16,63
15,51
21,62
12,60
16,61
18,62
24,67
14,58
21,75
17,54
17,61
14,69
17,57
14,66
14,60
11,58
17,65
15,61
21,71
10,68
17,67
20,74
10,52
13,53
18,59
10,64
20,53
16,62
14,61
17,77
17,59
19,53
18,46
16,50
19,57
23,48
13,55
19,53
20,72
20,64
17,65
13,74
13,73
22,74
13,63
9,69
13,65
10,66
17,52
17,59
21,65
18,64
13,52
18,46
14,58
19,55
15,66
20,55
24,67
23,60
15,73
16,53
14,53
18,50
15,58
14,50
19,59
14,62
16,65
23,55
11,43
13,66
23,72
15,63
21,48
15,66
12,79
22,67
18,58
18,75
17,61
21,66
13,65
14,66
8,57
15,65
14,67
15,51
21,68
13,61
21,63
12,68
17,47
23,72
17,59
15,69
21,65
17,56
10,65
18,47
14,68
14,66
13,61
15,65
17,48
11,62
19,56
15,58
15,67
15,59
19,71
8,64
17,56
15,63
13,53
13,63
15,62
15,57
21,66
18,59
20,65
18,66
15,46
20,58
16,59
15,60
16,64
19,67
9,63
18,74
23,59
22,64
13,67
19,54
19,69
17,57
16,71
9,69
14,46
12,57
17,62
13,65
18,55
11,52
21,51
17,67
14,54
12,69
14,61
17,61
17,52
13,58
24,56
18,67
19,63
16,55
17,63
18,73
17,72
13,66
17,64
12,40
26,63
19,58
14,52
21,71
16,65
13,63
17,57
16,66
19,77
17,53
24,72
21,57
9,59
21,58
15,62
22,73
10,67
16,69
13,68
15,63
16,55
16,84
23,67
12,72
12,70
19,56
14,53
16,62
17,69
17,62
11,56
17,55
19,64
13,65
16,53
12,59
16,58
20,56
19,65
9,69
15,63
18,68
17,57
11,59
13,62
20,73
16,52
13,60
16,59
14,62
15,72
11,80
21,49
13,63
19,65
15,74
15,64
12,59
19,69
14,69
24,62
14,46
17,67
22,48
12,69
17,57
17,48
19,61
11,65
12,64
14,51
13,56
19,55
21,47
23,57
11,62
16,48
15,74
13,54
19,47
17,66
20,62
18,61
18,63
12,59
17,68
14,67
21,42
12,59
11,59
18,64
15,53
19,59
15,47
20,60
16,57
13,55
18,57
19,71
18,55
17,70
17,62
19,57
19,51
11,65
12,60
20,70
14,57
20,62
28,68
13,52
16,64
18,60
15,50
22,70
16,42
14,61
19,59
22,63
16,56
17,65
14,54
16,73
19,58
22,54
17,63
13,65
11,68
20,64
15,60
25,56
21,56
14,51
7,62
13,57
19,68
16,58
11,61
16,62
7,60
21,63
20,55
14,44
12,71
16,65
18,74
13,61
15,70
21,58
11,70
18,57
17,59
18,66
14,76
10,65
16,67
23,55
17,67
16,58
18,53
15,65
15,67
14,59
13,57
19,47
14,67
15,59
17,73
17,70
22,69
13,53
13,68
20,61
21,81
18,68
10,57
17,57
19,54
18,54
16,57
21,56
30,51
11,63
15,62
10,53
22,58
19,70
17,58
19,66
15,69
14,67
19,57
14,64
12,65
13,60
22,60
16,80
19,56
13,51
17,66
21,52
9,58
17,73
25,64
16,65
17,55
19,62
12,72
10,63
22,59
21,71
16,55
18,71
17,52
15,55
21,82
16,76
15,58
15,55
22,59
19,70
15,66
17,57
21,67
11,65
17,56
10,61
15,52
16,60
18,61
13,57
21,55
13,67
10,61
25,68
23,59
11,69
15,72
19,67
22,75
22,69
21,64
19,73
15,70
23,63
16,60
11,63
22,54
18,55
17,77
9,59
20,60
15,69
18,58
20,59
19,70
22,66
18,50
19,74
16,67
24,60
23,70
14,53
17,71
19,70
17,73
21,56
18,61
20,68
17,62
16,58
19,57
12,61
18,63
21,64
21,57
20,54
13,54
16,75
22,54
18,60
11,63
17,68
19,52
15,60
11,58
21,62
16,62
23,69
17,64
17,67
14,57
16,65
21,52
19,60
16,57
20,65
16,76
15,57
15,51
18,53
16,64
15,51
17,59
12,65
12,62
12,58
20,60
11,56
11,78
9,54
16,68
12,52
11,54
14,70
13,72
22,65
15,57
14,51
17,45
17,46
17,67
20,60
13,64
17,72
13,61
20,53
22,69
20,64
20,64
20,75
22,57
14,55
21,75
13,72
13,58
14,59
18,61
16,67
15,50
17,71
20,56
17,51
12,49
14,72
11,52
12,67
15,61
17,62
20,63
16,52
12,65
21,55
14,55
28,58
17,53
15,73
20,46
23,65
15,58
15,68
19,66
22,62
20,64
16,58
18,62
15,72
15,71
20,61
15,59
16,65
16,66
22,66
22,53
19,71
9,54
15,60
13,54
12,66
31,51
19,47
15,51
26,48
23,61
26,73
17,49
17,57
18,60
17,48
17,72
21,64
22,61
17,69
18,67
11,63
18,42
11,63
13,65
14,64
16,59
17,63
14,61
12,56
16,54
21,57
12,63
18,56
20,60
22,59
14,73
19,63
20,56
20,53
17,80
20,58
12,74
20,52
13,58
13,50
18,58
17,64
22,64
19,59
13,59
18,56
12,55
21,65
9,46
15,51
21,75
18,58
7,64
21,67
17,61
18,49
20,61
15,63
12,58
22,44
18,53
22,66
13,55
21,52
19,51
22,53
18,55
17,67
18,49
20,69
14,53
14,70
19,65
18,66
10,58
15,55
22,47
17,53
13,56
12,64
14,56
20,57
16,65
18,57
15,68
13,54
12,69
17,49
20,49
15,68
21,56
15,62
12,67
17,67
18,76
16,49
16,67
21,59
24,72
19,68
19,58
9,72
15,57
12,63
22,57
14,54
25,62
15,65
18,58
12,65
25,61
19,72
13,63
18,72
22,69
18,66
15,54
21,60
