HO,CD
11,33
11,50
5,48
8,41
10,45
15,35
6,57
15,54
11,40
16,37
10,48
15,33
8,37
14,46
12,42
12,29
13,48
12,45
16,41
13,39
9,46
14,39
11,34
12,43
9,39
6,40
11,52
16,33
14,48
11,45
11,45
12,28
7,39
14,38
20,45
8,42
11,41
12,43
10,30
15,47
8,47
10,32
16,52
14,42
12,43
12,38
12,29
14,31
10,43
14,34
12,47
11,49
11,40
7,42
12,39
9,36
11,47
8,34
11,50
7,41
4,51
11,40
10,35
6,43
14,40
8,40
8,37
10,45
9,40
9,44
11,36
12,33
12,36
6,42
9,50
11,41
12,48
4,38
7,47
10,39
10,28
8,47
4,45
18,41
8,36
16,36
10,44
13,46
16,38
15,38
13,41
12,32
12,53
11,26
11,40
11,41
13,44
18,41
13,47
14,36
12,46
12,30
8,45
8,38
8,44
9,48
8,41
16,47
7,39
9,36
15,29
6,45
22,42
15,43
8,45
12,52
10,37
9,43
9,40
9,41
15,34
10,42
11,40
12,49
15,46
11,42
14,36
17,47
12,36
9,36
8,35
13,42
6,41
16,39
7,41
17,43
7,39
10,40
7,40
5,43
11,47
9,44
15,33
11,52
9,37
13,36
13,38
6,33
13,46
9,43
17,43
14,47
10,45
10,45
6,40
11,39
14,39
11,39
13,45
6,44
10,48
9,40
7,44
13,46
11,39
14,33
12,50
11,35
12,44
7,43
8,36
10,48
11,43
10,42
14,47
21,38
14,39
7,57
11,40
14,40
15,41
13,32
12,48
14,42
14,37
17,48
6,39
12,38
5,39
10,46
13,26
9,41
7,41
9,34
14,38
10,47
12,36
14,39
17,40
9,35
13,38
7,27
8,49
10,43
8,46
13,53
11,47
10,49
12,37
3,57
12,41
10,33
7,32
13,47
11,35
7,42
8,39
10,26
11,42
15,35
8,26
10,45
16,40
13,36
7,41
16,29
12,35
16,34
13,43
13,34
12,50
8,46
7,38
11,43
11,37
8,36
14,51
6,36
10,41
9,49
12,42
12,43
23,47
18,50
19,51
9,42
11,31
14,38
9,42
12,41
10,43
18,42
6,38
16,46
11,41
9,38
13,36
11,36
12,44
10,49
6,40
14,47
7,44
12,60
13,39
11,41
14,47
12,32
14,39
11,43
12,61
12,31
8,28
15,55
17,34
11,35
18,41
14,34
14,42
12,36
10,42
9,29
13,42
3,31
11,52
12,33
11,36
9,33
16,39
12,51
13,33
11,43
10,43
8,39
14,48
6,37
12,35
8,26
12,41
11,51
7,37
10,35
8,35
13,52
18,44
9,40
10,35
12,36
11,41
12,42
14,39
10,44
8,25
9,41
13,28
8,46
20,46
8,39
9,48
11,42
9,40
11,52
12,46
13,41
7,42
12,41
9,49
8,50
11,40
11,28
9,33
16,36
16,46
14,37
10,48
14,43
11,46
12,43
6,51
18,43
8,33
8,38
17,43
7,44
12,48
14,35
13,29
10,37
10,41
9,37
17,44
8,58
10,29
10,32
19,41
14,49
10,42
11,46
16,45
11,35
10,48
9,35
16,40
8,44
10,42
11,41
10,43
11,44
14,38
13,43
11,54
8,52
10,43
14,47
10,38
18,46
6,45
12,39
10,41
14,44
9,35
16,44
13,38
11,46
18,31
4,38
17,51
7,47
11,38
13,48
11,42
11,50
11,50
8,41
12,35
12,36
14,46
9,35
5,35
14,42
9,46
7,36
7,50
9,40
12,43
10,42
11,49
13,44
15,35
10,36
12,34
13,54
10,35
12,36
19,47
13,36
15,37
12,32
15,45
9,49
8,41
16,42
8,40
14,32
7,41
15,42
7,39
10,42
12,44
8,32
11,33
9,35
12,36
18,49
11,41
10,41
17,46
8,42
16,37
12,39
14,47
14,50
16,35
22,35
9,38
10,46
12,39
9,36
12,33
17,34
14,29
10,41
16,29
7,42
6,45
12,34
15,39
11,49
13,43
20,40
14,38
18,48
12,45
11,35
15,48
14,32
10,37
10,44
10,41
7,45
11,37
16,37
11,51
9,39
10,36
15,39
11,43
11,44
17,40
10,43
9,37
17,40
11,35
12,40
3,42
10,42
9,41
11,53
11,39
15,46
9,39
17,42
10,47
8,48
16,44
16,39
11,33
13,49
10,42
16,33
7,45
12,35
9,38
14,40
13,41
10,42
12,39
13,37
12,33
8,52
13,49
14,33
8,35
10,38
14,35
11,43
12,45
16,47
10,44
16,35
14,34
14,44
15,36
7,31
16,41
14,31
13,36
6,33
6,37
12,46
14,50
10,47
7,37
8,44
14,40
9,37
9,50
10,44
9,44
13,60
7,34
7,39
12,35
11,48
11,47
7,47
14,31
15,39
9,46
15,36
7,42
11,44
10,46
14,39
14,49
9,49
14,45
16,42
11,35
8,46
9,33
9,64
10,43
13,44
13,43
13,50
14,44
13,50
13,38
11,39
13,40
6,35
10,46
9,35
13,51
9,49
11,40
10,30
9,50
8,38
9,42
11,34
13,41
11,36
8,47
8,44
9,42
11,44
10,44
13,50
16,37
14,36
19,37
10,50
11,42
14,40
11,46
13,52
12,42
11,44
15,39
10,41
14,38
16,38
14,43
11,50
9,42
14,38
14,40
14,33
12,37
14,47
20,46
6,47
9,43
7,44
8,46
8,46
11,37
12,42
11,37
13,46
13,39
8,43
10,30
17,41
20,47
15,35
8,47
16,42
10,48
10,43
17,37
10,47
12,38
7,50
13,45
13,35
11,41
12,52
14,42
18,44
12,32
15,33
14,44
12,38
11,46
10,34
9,55
11,50
11,38
13,40
7,37
10,44
10,40
15,48
10,42
9,41
8,39
6,33
14,53
13,40
14,38
12,53
13,33
13,31
14,41
8,41
10,46
17,42
23,40
17,37
14,42
12,42
11,38
14,41
6,49
12,46
13,44
13,50
4,44
8,38
14,41
11,37
15,49
4,48
12,42
4,41
16,36
12,45
11,44
6,43
5,53
10,42
9,41
12,32
9,50
8,30
12,36
7,44
14,41
9,42
12,47
10,26
11,34
9,52
5,32
10,46
10,36
12,36
12,50
16,48
8,46
10,39
10,41
10,31
10,34
6,48
9,39
11,43
13,38
11,38
10,46
9,50
12,42
8,36
8,46
16,41
8,41
9,37
12,44
14,34
12,33
13,37
12,46
16,52
16,36
14,51
14,47
14,56
8,42
15,42
9,39
7,46
8,40
11,52
12,44
9,41
9,41
11,50
13,40
9,42
13,45
11,44
15,37
10,49
9,31
10,39
16,45
13,34
8,39
15,47
13,36
10,50
9,46
11,44
15,46
12,33
6,45
10,31
10,43
4,52
10,55
12,37
12,34
7,42
16,43
16,41
12,39
14,40
9,36
10,40
11,28
9,38
4,35
12,32
12,40
6,52
11,44
15,34
18,37
11,42
15,40
11,33
7,50
11,41
6,35
11,44
10,36
10,38
11,41
10,40
10,40
8,49
11,38
8,36
8,52
6,42
13,36
11,27
10,38
10,39
9,38
6,49
11,40
11,42
12,33
15,38
9,51
6,43
9,46
15,35
11,36
7,36
6,34
10,42
12,43
8,40
10,46
12,36
10,43
15,45
14,42
7,41
8,33
11,45
10,48
10,41
11,58
9,46
12,49
12,31
11,40
12,55
12,40
14,35
9,38
9,46
11,36
11,41
8,31
13,44
7,33
15,38
11,32
8,38
8,41
5,42
8,37
14,33
8,43
13,41
12,42
7,48
12,41
9,44
10,47
9,47
11,36
10,32
11,30
18,43
12,34
15,52
9,42
10,44
10,32
10,41
9,53
17,51
16,38
12,41
8,35
7,38
9,49
15,45
10,36
15,44
13,32
12,45
12,47
14,36
11,29
12,55
8,34
18,42
10,41
16,33
8,46
7,46
10,49
11,39
8,42
9,42
9,40
8,42
14,46
13,45
18,34
12,49
9,41
13,48
8,31
13,39
9,40
11,41
9,42
14,56
11,34
17,31
7,46
14,41
14,60
13,42
10,33
9,42
6,49
11,34
13,47
11,36
10,40
15,40
9,42
14,35
8,29
13,37
7,45
8,35
4,45
9,48
8,54
9,44
17,36
13,41
13,35
12,45
12,37
10,31
10,40
8,30
11,36
8,44
8,34
14,37
10,42
11,42
11,42
10,49
11,38
12,36
13,41
13,49
15,37
12,41
13,41
17,40
8,40
12,33
12,42
11,48
12,44
11,35
9,32
14,52
13,44
14,47
11,36
9,45
17,49
14,42
7,38
13,35
6,38
14,48
11,48
14,40
13,43
13,38
9,35
12,36
8,41
16,47
14,32
20,42
14,41
11,50
10,42
14,46
8,46
5,27
9,37
11,40
10,35
14,38
11,43
14,41
12,45
12,40
13,43
9,47
13,34
7,42
5,36
10,38
12,48
14,50
14,41
15,48
8,48
13,42
8,45
9,45
11,42
6,38
11,43
13,40
15,38
8,40
8,23
7,30
7,40
14,40
11,44
10,34
14,40
13,49
6,40
6,45
11,42
13,44
17,58
14,43
13,48
3,41
10,31
14,26
8,57
