HO,CD
41,159
37,154
41,155
35,156
36,156
45,148
38,154
40,163
36,155
38,146
38,147
43,153
44,153
37,152
42,158
45,159
42,164
38,161
38,160
39,161
42,169
38,147
41,149
40,159
46,167
42,144
39,141
38,162
41,160
38,162
37,157
40,156
41,149
43,140
39,163
34,159
39,160
37,161
39,164
39,163
36,147
38,149
38,136
38,156
37,162
38,150
39,160
37,172
40,150
39,139
41,152
41,148
43,143
42,160
42,142
39,161
37,156
39,157
37,155
41,166
37,154
36,154
40,168
40,152
38,152
39,158
39,164
39,157
36,156
33,154
42,158
39,154
41,145
37,169
40,156
42,151
41,152
38,157
38,151
45,156
43,152
40,163
34,152
39,168
35,171
37,165
39,158
37,165
36,160
37,152
40,162
37,158
42,159
38,148
37,150
42,153
41,154
39,163
37,169
40,152
41,158
42,151
32,151
40,144
39,157
41,162
37,159
38,155
41,152
36,154
36,150
41,160
40,165
41,141
36,152
39,163
33,161
38,163
39,157
39,162
35,153
39,159
39,163
40,161
37,150
42,141
35,170
37,152
39,152
39,155
38,162
38,151
43,149
41,162
38,154
38,155
39,160
38,156
36,153
39,164
42,158
40,158
35,162
38,170
41,153
40,161
37,161
43,155
39,150
39,143
40,146
38,147
40,155
41,152
41,164
39,148
40,158
38,158
41,143
37,153
38,149
38,155
39,156
39,153
36,159
38,155
38,165
34,156
37,172
40,144
40,162
40,155
38,145
39,152
45,152
39,151
40,152
40,159
38,162
38,149
43,154
41,161
39,153
41,151
43,157
35,156
44,147
39,161
41,149
37,162
41,142
38,160
38,160
37,140
36,147
35,140
37,156
41,140
37,168
39,157
42,154
40,149
42,151
36,149
38,159
38,152
43,164
37,162
38,148
40,153
41,156
34,142
39,152
40,160
40,160
39,153
41,166
46,142
37,139
35,140
37,149
38,170
37,153
39,157
43,159
40,152
33,158
42,156
41,153
37,146
45,162
43,159
38,153
38,162
40,154
37,154
39,158
37,157
39,155
34,144
39,163
36,162
42,160
35,161
42,150
43,164
38,162
41,150
39,154
44,145
41,149
37,150
