HO,CD
13,51
16,68
17,54
13,45
14,66
10,46
19,55
10,61
13,55
8,53
14,57
16,64
19,51
11,47
22,60
13,53
10,49
16,40
17,64
11,49
13,63
10,52
14,65
10,40
13,31
11,47
12,47
18,54
17,48
14,50
16,47
10,57
17,49
10,64
15,43
15,65
13,46
17,52
12,45
22,52
15,47
17,48
19,53
11,54
15,57
13,60
12,42
13,41
13,54
22,60
13,40
17,50
13,37
16,52
12,54
10,54
16,55
21,57
13,33
15,49
17,55
14,51
19,50
22,42
20,57
11,50
18,35
13,56
13,59
22,52
15,45
10,52
12,52
15,61
9,54
17,61
14,52
12,59
14,50
18,50
12,57
15,65
11,51
13,57
17,63
11,54
20,43
13,36
12,46
15,58
16,42
20,55
17,57
13,43
11,58
9,48
13,47
12,57
20,37
11,39
16,66
16,59
14,58
16,58
11,61
10,51
17,46
19,51
15,44
10,54
15,56
12,48
11,59
11,60
13,37
15,55
14,45
14,40
14,48
16,56
21,49
11,52
11,57
12,56
16,46
9,53
17,57
14,57
16,54
14,54
15,50
16,42
15,51
18,65
15,57
13,65
22,44
7,54
15,50
16,51
11,74
18,52
14,42
12,58
12,57
13,54
15,57
15,44
16,51
19,50
11,52
14,52
22,56
14,53
17,55
13,58
16,55
11,53
13,57
13,51
12,50
12,44
14,62
14,49
15,54
17,61
9,52
11,63
17,50
22,62
9,39
10,55
8,37
21,41
21,49
18,53
16,60
17,55
18,54
13,55
14,39
17,58
15,46
14,53
16,56
25,49
20,48
18,68
15,40
7,61
13,42
12,49
14,53
9,57
17,47
17,54
15,57
19,54
14,51
23,59
14,49
16,68
16,60
15,54
19,55
13,53
13,56
21,56
13,45
19,51
10,58
19,51
17,49
13,52
14,47
13,44
13,54
18,56
18,48
8,33
14,49
18,54
14,48
12,68
11,39
15,52
17,54
12,52
22,54
13,50
11,52
15,38
16,55
8,53
18,51
10,53
14,61
16,47
9,67
8,40
12,52
16,45
16,43
11,46
15,57
14,48
14,60
17,42
18,61
12,48
9,49
13,53
10,62
10,60
15,51
18,56
14,56
13,56
15,54
11,39
19,43
18,55
13,61
14,57
17,44
14,46
18,58
11,57
18,45
12,58
10,52
13,57
13,54
15,60
15,55
12,45
10,52
14,49
21,54
12,56
15,65
11,51
15,55
16,54
15,44
19,41
11,51
14,48
16,55
12,59
20,50
11,58
11,43
14,49
11,52
13,57
25,47
19,40
11,68
19,50
15,50
19,52
13,38
12,51
16,63
9,54
12,57
18,50
13,54
17,47
14,49
12,57
13,55
27,54
12,50
21,53
14,47
16,43
13,50
10,43
17,59
14,44
20,63
16,59
11,40
17,52
12,44
13,57
16,51
11,58
12,44
9,45
12,54
12,49
15,48
19,41
14,43
18,53
19,49
14,47
7,54
10,40
11,39
9,51
14,62
12,56
13,51
15,67
14,59
11,49
12,56
11,60
15,60
14,52
14,63
19,58
12,62
12,45
12,41
19,45
15,54
14,60
20,40
18,49
19,53
10,52
16,59
11,49
16,48
14,60
21,51
20,54
17,57
16,50
16,44
16,61
14,54
11,57
16,58
13,52
12,48
13,54
10,54
12,63
10,54
10,53
12,58
16,67
16,47
13,63
17,51
11,50
8,59
9,53
14,54
12,42
17,47
13,58
12,60
15,51
15,51
20,55
13,49
18,41
12,48
17,61
13,52
16,51
11,41
14,58
16,50
14,56
16,50
19,53
13,58
16,54
17,51
9,54
10,59
7,63
11,51
9,60
10,47
7,51
11,53
18,47
18,49
12,55
14,74
11,45
22,33
11,53
10,52
9,59
16,45
7,67
14,39
20,53
10,41
7,42
11,59
15,56
15,58
20,62
13,55
18,50
13,57
21,52
13,56
13,43
14,47
13,47
18,62
12,52
12,66
19,55
8,52
12,55
16,51
20,60
11,65
13,51
11,50
13,46
11,56
18,53
16,47
14,60
14,43
15,51
15,50
12,47
14,41
14,54
14,40
12,50
14,54
16,50
10,51
14,52
15,58
15,50
19,62
17,48
8,61
17,52
10,49
18,53
12,55
14,50
18,57
16,61
14,57
11,47
14,46
18,53
11,53
14,55
18,57
10,58
10,54
19,47
12,52
16,63
13,49
8,52
12,64
10,58
14,48
14,49
14,44
29,52
18,59
13,58
6,66
15,52
13,61
17,54
20,40
16,57
16,55
17,56
12,48
