HO,CD
25,116
39,102
31,108
24,120
30,120
32,108
33,104
48,94
32,117
31,130
20,118
37,104
35,125
24,116
37,111
35,128
25,112
30,119
28,118
35,122
25,108
27,122
38,125
35,111
30,142
30,122
37,122
33,114
26,121
31,126
25,122
28,110
32,110
30,125
37,111
23,127
38,121
30,126
30,99
31,118
38,102
42,133
24,122
35,121
30,108
33,128
30,109
37,101
28,136
26,106
32,97
26,107
26,117
35,125
34,126
40,115
32,126
32,112
29,108
21,118
31,112
33,132
37,108
21,100
27,120
38,103
37,131
22,127
28,121
42,119
38,118
24,126
27,117
31,104
34,122
36,113
31,125
28,115
32,116
35,107
28,130
25,126
32,111
28,117
27,113
33,109
36,126
30,112
28,112
31,118
41,117
21,115
36,111
32,135
28,115
29,113
38,129
27,122
37,125
34,114
41,120
29,102
26,137
36,134
36,121
33,108
35,113
35,108
30,109
29,111
27,132
30,126
23,124
33,100
44,116
30,111
34,105
31,103
30,131
37,118
33,128
32,108
34,109
30,123
33,112
37,116
27,115
28,116
32,120
33,109
32,136
30,128
33,115
30,120
40,120
27,111
27,111
26,108
31,109
38,115
33,105
39,109
34,97
39,138
36,115
31,119
31,129
26,115
34,129
26,116
30,123
29,111
34,112
30,113
33,106
30,108
33,125
37,114
30,127
29,95
28,105
27,108
31,116
39,97
37,124
35,112
27,135
30,115
33,123
30,99
31,115
34,117
31,113
26,127
30,108
31,115
33,119
33,96
28,116
38,128
33,125
36,103
33,130
36,124
31,125
34,110
23,104
27,121
39,112
32,102
29,112
40,115
33,101
38,127
28,111
33,110
42,122
36,131
31,107
34,141
27,109
34,120
24,121
31,134
33,129
25,126
35,116
32,121
31,114
32,100
24,116
29,142
26,114
32,106
31,107
37,120
25,137
36,118
28,111
34,121
36,133
34,108
36,120
30,119
38,134
29,121
30,109
40,108
39,119
25,129
30,112
33,127
30,112
35,115
27,105
33,109
28,106
31,123
30,122
27,119
23,110
34,126
37,123
32,125
30,135
25,117
31,146
34,99
26,111
37,93
37,129
40,125
40,120
30,121
27,112
36,104
31,131
32,118
37,121
33,113
23,125
22,128
26,100
36,125
30,127
27,120
33,128
40,106
29,132
32,119
31,123
31,106
28,102
32,100
33,117
34,123
31,119
29,119
29,125
29,139
40,116
22,131
32,103
43,100
33,103
28,106
25,117
43,118
31,113
33,111
25,111
29,113
38,100
33,116
41,116
27,122
27,120
35,122
28,122
37,105
28,104
35,114
42,122
22,121
29,128
36,118
32,110
33,133
31,138
38,127
34,118
34,128
35,111
25,123
37,124
23,113
32,111
24,148
39,116
27,124
31,131
34,117
36,119
23,100
31,129
27,131
34,113
35,109
32,124
24,117
34,115
33,111
37,108
30,113
37,118
36,109
30,115
34,134
31,125
36,114
29,120
19,110
30,125
37,114
31,118
30,116
31,124
26,120
23,119
28,116
42,132
40,126
38,120
24,131
31,111
31,119
25,126
35,128
28,126
31,125
35,125
33,105
34,107
26,116
37,107
24,114
40,133
26,118
35,111
37,113
26,102
38,107
31,113
23,135
31,111
37,123
23,105
33,107
38,110
32,123
33,109
23,116
30,112
34,126
35,108
34,112
32,95
25,119
26,122
31,123
27,106
34,120
27,106
24,111
31,113
30,110
25,119
32,151
33,113
36,117
