HO,CD
44,67
37,84
25,77
27,92
34,75
37,80
39,82
30,88
32,71
41,69
37,76
47,89
40,75
35,75
38,84
35,71
40,67
42,74
24,98
41,76
27,83
31,93
27,73
37,75
23,73
43,83
27,71
27,79
38,63
45,71
31,58
25,63
34,79
37,86
33,79
32,57
33,90
33,84
39,74
25,78
28,72
31,71
44,86
31,74
23,77
24,82
32,61
36,76
35,81
35,83
37,77
38,86
37,75
35,83
34,84
41,69
39,81
34,78
40,89
30,90
38,78
32,91
29,76
37,85
25,90
45,70
25,86
41,56
32,78
27,81
31,70
37,94
23,75
35,81
41,65
25,84
36,76
46,80
36,62
39,75
37,72
30,66
33,80
26,79
40,73
34,71
27,75
28,73
44,79
31,69
32,81
41,80
25,82
29,86
29,82
39,77
33,80
32,65
23,71
35,78
39,94
28,75
37,73
38,74
33,80
38,76
30,69
31,102
41,60
29,70
34,70
29,68
43,78
32,74
25,85
39,65
42,72
34,78
27,65
36,79
29,84
32,84
38,86
38,72
42,79
18,76
36,81
34,84
24,81
39,77
25,72
24,77
32,93
34,87
37,77
30,64
33,77
40,76
38,79
33,84
31,76
33,92
47,78
44,76
31,72
27,72
23,87
34,73
25,81
32,101
40,77
35,75
27,73
32,79
34,65
35,87
36,75
40,73
29,64
33,77
26,63
34,73
41,86
22,86
38,73
32,86
31,91
37,91
40,66
32,87
31,79
34,69
37,90
39,94
36,73
34,76
40,80
27,70
27,67
40,81
32,69
41,97
39,82
24,80
33,77
38,78
35,78
31,69
23,73
39,85
34,73
33,99
29,69
40,79
38,68
41,55
31,74
39,88
43,80
29,81
37,82
34,87
32,79
37,78
32,79
33,86
29,73
49,76
32,74
29,81
35,79
29,76
30,87
31,78
29,79
37,67
37,74
36,73
48,74
37,83
32,79
32,67
33,81
38,69
17,93
37,72
24,80
32,74
32,75
35,65
30,57
31,74
28,80
29,79
39,77
27,88
36,70
37,71
22,90
39,78
48,76
34,66
36,79
35,71
35,78
36,66
38,75
37,72
27,63
42,64
31,73
37,81
25,86
44,98
35,76
29,78
40,73
37,71
21,80
31,61
40,85
30,77
36,69
35,91
19,80
38,79
28,62
40,76
36,86
32,79
38,84
36,75
30,55
30,61
31,69
35,72
33,97
33,74
28,67
37,79
34,86
32,72
42,87
35,61
33,92
40,74
21,83
30,73
35,72
36,71
45,79
32,75
42,79
32,88
38,77
32,73
41,81
30,73
43,91
43,75
35,60
35,79
39,70
25,84
36,75
36,76
42,86
46,70
32,85
41,72
30,80
36,94
32,84
31,89
33,66
35,82
33,82
27,61
29,82
25,81
36,68
32,75
36,90
38,70
31,75
30,81
38,63
52,78
25,88
29,84
25,81
34,69
37,70
31,72
34,61
35,73
33,90
43,83
27,76
34,87
39,92
32,78
41,78
41,82
34,65
30,92
32,85
47,86
17,71
23,60
32,78
36,71
29,92
30,82
27,84
40,80
30,89
48,61
37,72
33,72
42,91
27,82
38,86
39,74
26,84
25,84
36,79
27,80
31,71
25,79
41,85
32,86
28,84
30,94
45,65
30,65
35,91
39,75
31,71
35,77
42,76
34,72
30,80
35,64
30,91
36,70
36,68
31,76
30,66
32,82
30,82
29,85
30,74
45,82
44,83
32,76
29,65
43,60
34,69
31,87
29,88
33,86
31,74
29,85
28,77
34,79
32,90
35,80
28,79
27,91
31,85
34,68
37,85
35,80
25,79
31,85
57,74
33,89
32,66
42,86
42,90
33,80
30,78
41,75
35,72
27,91
29,85
30,90
31,74
25,82
46,82
26,68
50,77
41,69
24,83
43,88
37,82
23,65
31,74
27,74
34,75
36,87
36,81
55,94
35,81
42,98
32,67
45,69
34,81
33,87
35,83
25,57
37,80
20,74
38,86
33,93
32,78
31,80
19,86
30,87
29,64
33,75
34,68
33,80
30,77
34,81
36,93
40,83
30,89
31,81
32,71
31,69
32,83
39,82
23,72
22,84
37,72
39,82
39,99
40,78
28,75
39,73
27,79
33,71
34,87
41,82
36,84
26,75
36,70
39,78
26,83
27,77
38,80
49,81
32,70
43,83
34,88
24,76
34,72
39,73
30,76
37,79
44,90
31,80
42,81
40,75
42,73
25,75
43,78
28,82
36,91
37,83
29,80
31,68
34,63
37,83
24,76
43,70
36,81
37,80
28,93
29,73
21,79
26,71
31,77
32,74
42,80
24,79
29,78
35,92
43,88
35,71
30,52
34,78
27,81
37,75
34,71
33,70
27,60
33,70
37,65
38,81
43,68
27,104
39,84
25,83
33,60
32,76
36,82
32,76
20,82
28,72
34,71
31,75
33,72
44,78
39,77
26,95
39,74
40,61
36,74
41,78
41,83
37,79
32,77
45,71
35,92
25,73
48,85
37,73
27,72
38,85
39,74
28,67
34,66
50,77
38,71
19,81
28,78
27,81
48,74
31,78
34,79
31,81
24,75
27,80
35,73
34,76
41,67
34,91
33,79
35,90
37,84
37,87
35,65
50,72
33,86
38,82
36,84
29,76
30,89
48,79
20,80
40,78
31,78
30,74
28,73
34,72
39,82
48,78
30,87
44,73
34,80
37,81
27,84
36,84
33,72
40,70
33,68
32,77
39,80
36,61
31,92
40,84
27,68
31,73
30,77
33,85
46,82
32,81
31,76
24,75
33,80
27,71
29,78
28,70
31,83
41,85
25,76
27,77
37,73
37,77
35,87
32,74
27,87
37,81
22,75
45,83
33,65
33,86
35,72
38,71
31,74
29,71
32,77
44,66
26,77
31,85
32,90
45,65
33,65
28,82
31,76
37,73
32,87
23,78
30,84
28,74
33,72
25,88
33,82
38,66
34,72
41,96
39,74
37,76
25,70
33,76
30,86
38,84
32,77
27,65
27,88
36,69
40,74
28,93
31,84
38,77
37,81
33,92
29,85
34,74
39,84
37,86
25,59
41,74
37,72
31,79
41,81
25,80
25,69
45,79
33,73
35,71
27,63
35,74
33,81
35,82
24,80
30,81
34,84
28,74
34,68
24,74
28,88
33,75
34,75
45,69
24,79
32,72
37,95
33,77
37,72
32,78
26,75
35,73
36,92
34,75
38,82
37,85
43,86
28,83
33,70
35,84
33,74
40,74
36,67
29,69
33,74
23,74
34,84
29,68
37,88
44,93
